,rst_name,weekday,hours,platform
11,포비 본점,04.06 (토),영업시간: 16:00 - 23:00,1
12,,,,
0,에스프레소바 투또톤토,[오늘] 03.31 (일),영업시간 확인 필요,1
1,에스프레소바 투또톤토,04.01 (월),확인 필요,1
2,에스프레소바 투또톤토,04.02 (화),확인 필요,1
3,에스프레소바 투또톤토,04.03 (수),확인 필요,1
4,에스프레소바 투또톤토,04.04 (목),확인 필요,1
5,에스프레소바 투또톤토,04.05 (금),확인 필요,1
6,에스프레소바 투또톤토,04.06 (토),확인 필요,1
0,카페 아르무아,[오늘] 03.31 (일),영업시간: 12:00 - 22:00,1
1,카페 아르무아,04.01 (월),영업시간: 12:00 - 22:00,1
2,카페 아르무아,04.02 (화),영업시간: 12:00 - 22:00,1
3,카페 아르무아,04.03 (수),영업시간: 12:00 - 22:00,1
4,카페 아르무아,04.04 (목),영업시간: 12:00 - 22:00,1
5,카페 아르무아,04.05 (금),영업시간: 12:00 - 22:00,1
6,카페 아르무아,04.06 (토),영업시간: 12:00 - 22:00,1
0,메호르,[오늘] 03.31 (일),영업시간: 12:00 - 23:00,1
1,메호르,04.01 (월),영업시간: 12:00 - 23:00,1
2,,,,
3,메호르,04.02 (화),영업시간: 12:00 - 23:00,1
4,,,,
5,메호르,04.03 (수),영업시간: 12:00 - 23:00,1
6,,,,
7,메호르,04.04 (목),영업시간: 12:00 - 23:00,1
8,,,,
9,메호르,04.05 (금),영업시간: 12:00 - 23:00,1
10,,,,
11,메호르,04.06 (토),영업시간: 12:00 - 23:00,1
12,,,,
0,오사이초밥 건대본점,[오늘] 03.31 (일),영업시간: 10:30 - 21:30,1
1,오사이초밥 건대본점,04.01 (월),영업시간: 11:00 - 21:00,1
2,,,,
3,오사이초밥 건대본점,04.02 (화),영업시간: 11:00 - 21:00,1
4,,,,
5,오사이초밥 건대본점,04.03 (수),영업시간: 11:00 - 21:00,1
6,,,,
7,오사이초밥 건대본점,04.04 (목),영업시간: 11:00 - 21:00,1
8,,,,
9,오사이초밥 건대본점,04.05 (금),영업시간: 11:00 - 21:00,1
10,,,,
11,오사이초밥 건대본점,04.06 (토),영업시간: 10:30 - 21:30,1
12,,,,
0,겐로쿠우동,[오늘] 03.31 (일),영업시간: 11:30 - 21:00,1
1,겐로쿠우동,04.01 (월),휴무일,1
