,rst_name,user_name,review_text,u_rst_tag,ate_menus,date,platform
0,이자카야청심,leeer,와 너무 맛있고 분위기있는 곳에서 잘먹고왔어요 나베는 넘 건강하고 깊은 맛이고 꼬치는 특수한 용기(?)에 끝까지 따뜻하게 먹을 수 있어서 좋았습니다. 완전 순삭했어요!! 다음에도 이자카야하면 또 생각날것 같아요!! 잘먹었습니다,"['음식이 맛있어요', '특별한 메뉴가 있어요', '가성비가 좋아요', '메뉴 구성이 알차요', '인테리어가 멋져요']",,3.19.화,0
1,이자카야청심,유찌기,일본갬성 냥냥했던 이자카야 청심 :)  나베세트 먹었는데 구성과 가성비가 좋아요 ☺️ 나베는 나가사끼 짬뽕으로 선택했는데  오징어도 크고 맛나욥🩵 세트 구성에 포함된 꼬치 7종도 다양하게 나와서 좋았어요! 건대에서 이자카야 찾고 계신다면  이자카야 청심 방문해보세요 ~~,"['친절해요', '가성비가 좋아요', '음악이 좋아요', '대화하기 좋아요', '혼술하기 좋아요']",,3.9.토,0
