,rst_name,weekday,hours,platform
5,랑데자뷰 건대점,04.06 (토),영업시간: 10:30 - 23:00,1
6,랑데자뷰 건대점,04.07 (일),영업시간: 10:30 - 23:00,1
0,애드앤드,[오늘] 04.01 (월),영업시간: 11:00 - 21:00,1
1,애드앤드,04.02 (화),영업시간: 11:00 - 21:00,1
2,애드앤드,04.03 (수),영업시간: 11:00 - 21:00,1
3,애드앤드,04.04 (목),영업시간: 11:00 - 21:00,1
4,애드앤드,04.05 (금),영업시간: 11:00 - 21:00,1
5,애드앤드,04.06 (토),영업시간: 12:00 - 20:00,1
6,애드앤드,04.07 (일),영업시간: 12:00 - 20:00,1
0,브렛서울,[오늘] 04.01 (월),영업시간: 09:00 - 21:00,1
1,브렛서울,04.02 (화),영업시간: 09:00 - 21:00,1
2,브렛서울,04.03 (수),영업시간: 09:00 - 21:00,1
3,브렛서울,04.04 (목),영업시간: 09:00 - 21:00,1
4,브렛서울,04.05 (금),영업시간: 09:00 - 21:00,1
5,브렛서울,04.06 (토),영업시간: 11:00 - 20:00,1
6,브렛서울,04.07 (일),영업시간: 11:00 - 20:00,1
0,요거프레소,[오늘] 04.01 (월),영업시간: 08:00 - 23:00,1
1,요거프레소,04.02 (화),영업시간: 08:00 - 23:00,1
2,요거프레소,04.03 (수),영업시간: 08:00 - 23:00,1
3,요거프레소,04.04 (목),영업시간: 08:00 - 23:00,1
4,요거프레소,04.05 (금),영업시간: 08:00 - 23:00,1
5,요거프레소,04.06 (토),영업시간: 08:00 - 23:00,1
6,요거프레소,04.07 (일),영업시간: 08:00 - 23:00,1
0,카페롱,[오늘] 04.01 (월),영업시간: 09:00 - 01:00,1
1,카페롱,04.02 (화),영업시간: 09:00 - 01:00,1
2,카페롱,04.03 (수),영업시간: 09:00 - 01:00,1
3,카페롱,04.04 (목),영업시간: 09:00 - 01:00,1
4,카페롱,04.05 (금),영업시간: 09:00 - 02:00,1
5,카페롱,04.06 (토),영업시간: 10:00 - 02:00,1
6,카페롱,04.07 (일),영업시간: 10:00 - 02:00,1
0,카푸베어,[오늘] 04.01 (월),영업시간: 12:00 - 21:00,1
1,카푸베어,04.02 (화),휴무일,1
2,카푸베어,04.03 (수),영업시간: 12:00 - 21:00,1
3,카푸베어,04.04 (목),영업시간: 12:00 - 21:00,1
4,카푸베어,04.05 (금),영업시간: 12:00 - 21:00,1
5,카푸베어,04.06 (토),영업시간: 12:00 - 21:00,1
6,카푸베어,04.07 (일),영업시간: 12:00 - 21:00,1
0,최가커피,[오늘] 04.01 (월),영업시간: 11:30 - 23:00,1
1,최가커피,04.02 (화),영업시간: 11:30 - 23:00,1
2,최가커피,04.03 (수),영업시간: 11:30 - 23:00,1
3,최가커피,04.04 (목),영업시간: 11:30 - 23:00,1
4,최가커피,04.05 (금),영업시간: 11:30 - 23:00,1
5,최가커피,04.06 (토),영업시간: 11:30 - 23:00,1
6,최가커피,04.07 (일),영업시간: 11:30 - 23:00,1
0,골든라이언,[오늘] 04.01 (월),영업시간: 12:00 - 00:00,1
1,골든라이언,04.02 (화),영업시간: 12:00 - 00:00,1
2,골든라이언,04.03 (수),영업시간: 12:00 - 00:00,1
3,골든라이언,04.04 (목),영업시간: 12:00 - 00:00,1
4,골든라이언,04.05 (금),영업시간: 12:00 - 00:00,1
5,골든라이언,04.06 (토),영업시간: 12:00 - 00:00,1
6,골든라이언,04.07 (일),영업시간: 12:00 - 00:00,1
0,안다미로 팬케이크,[오늘] 04.01 (월),영업시간: 13:00 - 21:00,1
1,안다미로 팬케이크,04.02 (화),영업시간: 13:00 - 21:00,1
2,,,,
3,안다미로 팬케이크,04.03 (수),영업시간: 13:00 - 21:00,1
4,,,,
5,안다미로 팬케이크,04.04 (목),영업시간: 13:00 - 21:00,1
6,,,,
7,안다미로 팬케이크,04.05 (금),영업시간: 13:00 - 21:00,1
8,,,,
9,안다미로 팬케이크,04.06 (토),영업시간: 13:00 - 21:00,1
10,,,,
11,안다미로 팬케이크,04.07 (일),영업시간: 13:00 - 21:00,1
12,,,,
0,도쿄빙수,[오늘] 04.01 (월),영업시간: 12:00 - 22:00,1
1,도쿄빙수,04.02 (화),영업시간: 12:00 - 22:00,1
2,도쿄빙수,04.03 (수),영업시간: 12:00 - 22:00,1
3,도쿄빙수,04.04 (목),영업시간: 12:00 - 22:00,1
4,도쿄빙수,04.05 (금),영업시간: 12:00 - 22:00,1
5,도쿄빙수,04.06 (토),영업시간: 12:00 - 22:00,1
6,도쿄빙수,04.07 (일),영업시간: 12:00 - 22:00,1
0,카페온더플랜,[오늘] 04.01 (월),영업시간: 11:00 - 22:00,1
1,카페온더플랜,04.02 (화),영업시간: 11:00 - 22:00,1
2,카페온더플랜,04.03 (수),영업시간: 11:00 - 22:00,1
3,카페온더플랜,04.04 (목),영업시간: 11:00 - 22:00,1
4,카페온더플랜,04.05 (금),영업시간: 11:00 - 22:00,1
5,카페온더플랜,04.06 (토),영업시간: 11:00 - 22:00,1
6,카페온더플랜,04.07 (일),영업시간: 11:00 - 22:00,1
0,흐릇,[오늘] 04.01 (월),영업시간: 10:00 - 22:00,1
1,흐릇,04.02 (화),영업시간: 10:00 - 22:00,1
2,흐릇,04.03 (수),영업시간: 10:00 - 22:00,1
3,흐릇,04.04 (목),영업시간: 10:00 - 22:00,1
4,흐릇,04.05 (금),영업시간: 10:00 - 22:00,1
5,흐릇,04.06 (토),영업시간: 10:00 - 21:00,1
6,흐릇,04.07 (일),휴무일,1
0,커피볶는집 모카하마,[오늘] 04.01 (월),영업시간: 11:00 - 16:00,1
1,커피볶는집 모카하마,04.02 (화),영업시간: 11:00 - 16:00,1
2,커피볶는집 모카하마,04.03 (수),영업시간: 11:00 - 16:00,1
3,커피볶는집 모카하마,04.04 (목),영업시간: 11:00 - 16:00,1
4,커피볶는집 모카하마,04.05 (금),영업시간: 11:00 - 16:00,1
5,커피볶는집 모카하마,04.06 (토),영업시간: 11:00 - 16:00,1
6,커피볶는집 모카하마,04.07 (일),영업시간: 11:00 - 16:00,1
0,환원당,[오늘] 04.01 (월),영업시간 확인 필요,1
1,환원당,04.02 (화),확인 필요,1
2,환원당,04.03 (수),확인 필요,1
3,환원당,04.04 (목),확인 필요,1
4,환원당,04.05 (금),확인 필요,1
5,환원당,04.06 (토),확인 필요,1
6,환원당,04.07 (일),확인 필요,1
0,스위트레코드,[오늘] 04.01 (월),휴무일,1
1,스위트레코드,04.02 (화),휴무일,1
2,스위트레코드,04.03 (수),영업시간: 11:00 - 20:00,1
3,스위트레코드,04.04 (목),영업시간: 11:00 - 20:00,1
4,스위트레코드,04.05 (금),영업시간: 11:00 - 20:00,1
5,스위트레코드,04.06 (토),영업시간: 11:00 - 20:00,1
6,스위트레코드,04.07 (일),영업시간: 11:00 - 20:00,1
0,그리네,[오늘] 04.01 (월),영업시간: 11:00 - 22:00,1
1,그리네,04.02 (화),영업시간: 11:00 - 22:00,1
2,그리네,04.03 (수),영업시간: 11:00 - 22:00,1
