,rst_name,weekday,hours,platform
4,화양슈퍼,04.05 (금),영업시간: 16:00 - 05:00,1
5,화양슈퍼,04.06 (토),영업시간: 16:00 - 05:00,1
6,화양슈퍼,04.07 (일),영업시간: 16:00 - 05:00,1
0,후타리 본,[오늘] 04.01 (월),영업시간 확인 필요,1
1,후타리 본,04.02 (화),확인 필요,1
2,후타리 본,04.03 (수),확인 필요,1
3,후타리 본,04.04 (목),확인 필요,1
4,후타리 본,04.05 (금),확인 필요,1
5,후타리 본,04.06 (토),확인 필요,1
6,후타리 본,04.07 (일),확인 필요,1
0,질서정연,[오늘] 04.01 (월),영업시간: 16:00 - 01:00,1.0
1,질서정연,04.02 (화),영업시간: 16:00 - 01:00,1.0
2,,,,
3,질서정연,04.03 (수),영업시간: 16:00 - 01:00,1.0
4,,,,
5,질서정연,04.04 (목),영업시간: 16:00 - 01:00,1.0
6,,,,
7,질서정연,04.05 (금),영업시간: 16:00 - 03:00,1.0
8,,,,
9,질서정연,04.06 (토),영업시간: 16:00 - 03:00,1.0
10,,,,
11,질서정연,04.07 (일),영업시간: 16:00 - 01:00,1.0
12,,,,
0,후토,[오늘] 04.01 (월),영업시간: 17:00 - 02:00,1
1,후토,04.02 (화),영업시간: 17:00 - 02:00,1
2,후토,04.03 (수),영업시간: 17:00 - 02:00,1
3,후토,04.04 (목),영업시간: 17:00 - 02:00,1
4,후토,04.05 (금),영업시간: 16:00 - 02:00,1
5,후토,04.06 (토),영업시간: 16:00 - 02:00,1
6,후토,04.07 (일),휴무일,1
0,진맥,[오늘] 04.01 (월),영업시간: 17:00 - 00:00,1
1,진맥,04.02 (화),영업시간: 17:00 - 00:00,1
2,진맥,04.03 (수),영업시간: 17:00 - 00:00,1
3,진맥,04.04 (목),영업시간: 17:00 - 00:00,1
4,진맥,04.05 (금),영업시간: 17:00 - 02:00,1
5,진맥,04.06 (토),영업시간: 17:00 - 02:00,1
6,진맥,04.07 (일),영업시간: 17:00 - 00:00,1
0,토리광,[오늘] 04.01 (월),영업시간: 16:30 - 01:00,1
1,토리광,04.02 (화),휴무일,1
2,토리광,04.03 (수),영업시간: 16:30 - 01:00,1
3,토리광,04.04 (목),영업시간: 16:30 - 01:00,1
4,토리광,04.05 (금),영업시간: 15:00 - 02:00,1
5,토리광,04.06 (토),영업시간: 15:00 - 02:00,1
6,토리광,04.07 (일),영업시간: 15:00 - 02:00,1
0,바스타,[오늘] 04.01 (월),영업시간: 18:00 - 04:00,1
1,바스타,04.02 (화),영업시간: 18:00 - 04:00,1
2,바스타,04.03 (수),영업시간: 18:00 - 04:00,1
3,바스타,04.04 (목),영업시간: 18:00 - 04:00,1
4,바스타,04.05 (금),영업시간: 18:00 - 04:00,1
5,바스타,04.06 (토),영업시간: 18:00 - 04:00,1
6,바스타,04.07 (일),영업시간: 18:00 - 04:00,1
0,맥주꾼,[오늘] 04.01 (월),영업시간 확인 필요,1
1,맥주꾼,04.02 (화),확인 필요,1
2,맥주꾼,04.03 (수),확인 필요,1
3,맥주꾼,04.04 (목),확인 필요,1
4,맥주꾼,04.05 (금),확인 필요,1
5,맥주꾼,04.06 (토),확인 필요,1
6,맥주꾼,04.07 (일),확인 필요,1
0,금복주류 건대점,[오늘] 04.01 (월),영업시간: 16:00 - 03:00,1
1,금복주류 건대점,04.02 (화),영업시간: 16:00 - 03:00,1
2,금복주류 건대점,04.03 (수),영업시간: 16:00 - 03:00,1
3,금복주류 건대점,04.04 (목),영업시간: 16:00 - 03:00,1
4,금복주류 건대점,04.05 (금),영업시간: 16:00 - 05:00,1
5,금복주류 건대점,04.06 (토),영업시간: 15:00 - 05:00,1
6,금복주류 건대점,04.07 (일),영업시간: 15:00 - 03:00,1
0,코후쿠,[오늘] 04.01 (월),휴무일,1
1,코후쿠,04.02 (화),영업시간: 16:00 - 02:00,1
2,코후쿠,04.03 (수),영업시간: 16:00 - 02:00,1
3,코후쿠,04.04 (목),영업시간: 16:00 - 02:00,1
4,코후쿠,04.05 (금),영업시간: 16:00 - 02:00,1
5,코후쿠,04.06 (토),영업시간: 16:00 - 02:00,1
6,코후쿠,04.07 (일),영업시간: 16:00 - 00:00,1
0,새마을포차,[오늘] 04.01 (월),영업시간: 16:00 - 06:00,1
1,새마을포차,04.02 (화),영업시간: 16:00 - 06:00,1
2,새마을포차,04.03 (수),영업시간: 16:00 - 06:00,1
3,새마을포차,04.04 (목),영업시간: 16:00 - 06:00,1
4,새마을포차,04.05 (금),영업시간: 16:00 - 06:00,1
5,새마을포차,04.06 (토),영업시간: 16:00 - 06:00,1
6,새마을포차,04.07 (일),영업시간: 16:00 - 06:00,1
0,하이바 건대점,[오늘] 04.01 (월),영업시간: 17:00 - 04:00,1.0
