,rst_name,menu_name,price,url
0,카페 페퍼,라즈베리초코케이크,"9,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
1,카페 페퍼,Pepper coffee,"7,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
2,카페 페퍼,팬지 에이드,"7,500","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
3,카페 페퍼,체리블라썸 에이드,"7,500","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
4,카페 페퍼,레몬크림케이크,"9,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
5,카페 페퍼,블루베리치즈케이크,"8,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
6,카페 페퍼,말차파운드케이크,"6,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
7,카페 페퍼,콘크럼블바스크치즈케이크,"8,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
8,카페 페퍼,얼그레이오렌지케이크,"9,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
9,카페 페퍼,레몬라임피스타치오파운드케이크,"7,200","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
10,카페 페퍼,플레인버터스콘,"4,800","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
11,카페 페퍼,카라멜스콘,"5,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
12,카페 페퍼,대파스콘,"6,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
13,카페 페퍼,애플파이,"8,000","https://map.naver.com/p/search/%EC%9E%A0%EC%8B%A4%20%EC%B9%B4%ED%8E%98/place/1907181273?c=12.00,0,0,0,dh&placePath=%3Fentry%253Dbmp%2526n_ad_group_type%253D10%2526n_query%253D%2525EC%25259E%2525A0%2525EC%25258B%2525A4%2525EC%2525B9%2525B4%2525ED%25258E%252598"
